Dados,Label
301,correto
299,correto
300,correto
300,correto
200,incorreto
300,correto
301,correto
300,correto
299,correto
300,correto
301,correto
300,correto
300,correto
300,correto
299,correto
300,correto
55,incorreto
300,correto
301,correto
300,correto
300,correto
299,correto
301,correto
299,correto
300,correto
300,correto
300,correto
300,correto
299,correto
301,correto
3,incorreto
6,incorreto
500,incorreto
299,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
301,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
50,incorreto
299,correto
300,correto
300,correto
299,correto
299,correto
299,correto
301,correto
301,correto
301,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
299,correto
300,correto
300,correto
300,correto
301,correto
300,correto
299,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
299,correto
299,correto
299,correto
299,correto
300,correto
301,correto
300,correto
301,correto
301,correto
300,correto
300,correto
300,correto
300,correto
299,correto
300,correto
300,correto
300,correto
299,correto
300,correto
